#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xinit,"starts the graphical server."
,xorg-xrandr,"can be used to set the size and orientation of xorg's display output."
,xorg-xprop,"is a tool for detecting window properties."
A,compfy,"is for transparency and animations."
,polkit,"manages user policies."
,ttf-iosevka-nerd,"provides the fonts for CARBS."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"properly displays emojis."
,feh,"allows for custom background wallpapers."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,nsxiv,"is a minimalist image viewer."
,vlc,"is an open-source multimedia player."
,ffmpeg,"can record and splice video and audio on the command line."
,neovim,"a tidier vim with some useful features"
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,firefox,"is the default browser of CARBS."
,pipewire,"is the audio system."
,pipewire-audio,"provides audio support for PipeWire."
,pipewire-alsa,"routes all applications through the ALSA API."
,pipewire-pulse,"replaces PulseAudio."
,wireplumber,"is a session manager for PipeWire."
,brightnessctl,"enables changing screen brightness levels."
,virtualbox,"is a hypervisor used to create and run virtual machines."
,virtualbox-host-modules-arch,"provides host modules for VirtualBox."
A,mons,"helps manage multiple monitors."
,flameshot,"is a lightweight yet feature-packed screenshot tool."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
G,https://github.com/cole-sullivan/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/cole-sullivan/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/cole-sullivan/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/cole-sullivan/dwm.git,"is the window manager."
